Thu Nov 14 2019 13:35:24 GMT-0800 (PST)
Time (s),Topic,Payload
0,timedPropel,01337
1.905,propel,panleft
1.968,propel,turnoff
2.024,propel,panleft
2.11,propel,turnoff
2.184,propel,panleft
2.261,propel,turnoff
2.512,propel,fwd
2.593,propel,turnoff
2.614,propel,fwd
2.697,propel,turnoff
2.905,propel,panright
2.971,propel,turnoff
3.034,propel,panright
3.085,propel,turnoff
3.342,propel,bckwd
3.422,propel,turnoff
3.482,propel,bckwd
3.561,propel,turnoff
3.81,propel,turnleft
3.907,propel,turnoff
3.972,propel,turnleft
4.051,propel,turnoff
4.481,propel,turnright
4.567,propel,turnoff
4.635,propel,turnright
4.71,propel,turnoff
4.78,propel,turnright
4.864,propel,turnoff
8.007,timedPropelReturn,1337
