Thu Nov 14 2019 19:08:38 GMT-0800 (PST)
Time (s),Topic,Payload
0.013,float_pressure,1.4
0.134,float_pressure,0.0
0.333,float_pressure,0.0
0.334,float_pressure,0.0
0.433,float_pressure,0.0
0.643,float_pressure,0.0
0.645,float_pressure,-2.9
0.827,float_pressure,0.0
0.929,float_pressure,-1.0
1.126,float_pressure,0.9
1.126,float_pressure,0.0
1.231,float_pressure,0.0
1.439,float_pressure,0.0
1.44,float_pressure,-0.5
1.645,float_pressure,0.0
1.646,float_pressure,0.0
1.755,float_pressure,-1.0
1.763,float_pressure,-0.5
1.863,float_pressure,0.0
2.028,float_pressure,0.0
2.239,float_pressure,0.0
2.24,float_pressure,0.0
2.43,float_pressure,0.0
2.431,float_pressure,0.0
2.623,float_pressure,0.0
2.624,float_pressure,0.0
2.756,float_pressure,0.0
2.918,float_pressure,0.0
2.92,float_pressure,0.5
3.13,float_pressure,0.0
3.131,float_pressure,-0.5
3.186,float_pressure,0.0
3.338,float_pressure,0.5
3.526,float_pressure,0.0
3.526,float_pressure,0.9
3.747,float_pressure,0.0
3.747,float_pressure,0.0
3.931,float_pressure,0.0
3.932,float_pressure,0.0
4.141,float_pressure,0.0
4.141,float_pressure,0.0
4.336,float_pressure,0.0
4.336,float_pressure,0.0
4.527,float_pressure,-0.5
4.528,float_pressure,0.0
4.615,float_pressure,0.0
4.718,float_pressure,2.4
4.918,float_pressure,0.0
5.017,float_pressure,-1.0
5.118,float_pressure,0.0
5.322,float_pressure,0.0
5.323,float_pressure,-0.5
5.53,float_pressure,0.0
5.531,float_pressure,0.0
5.743,float_pressure,-0.5
5.744,float_pressure,0.0
5.953,float_pressure,2.4
5.958,float_pressure,0.0
5.962,float_pressure,0.0
6.054,float_pressure,0.0
6.218,float_pressure,0.0
6.422,float_pressure,0.0
6.422,float_pressure,0.5
6.629,float_pressure,0.0
6.63,float_pressure,0.0
6.824,float_pressure,0.0
6.825,float_pressure,0.0
6.922,float_pressure,0.0
7.029,float_pressure,-0.5
7.133,float_pressure,0.0
7.318,float_pressure,0.0
7.319,float_pressure,0.5
7.383,float_pressure,0.0
7.523,float_pressure,0.0
7.62,float_pressure,0.0
7.722,float_pressure,0.0
7.923,float_pressure,0.0
7.923,float_pressure,0.0
9.88,float_pressure,0.0
9.882,float_pressure,0.0
9.884,float_pressure,0.0
9.887,float_pressure,0.0
9.898,float_pressure,0.0
9.906,float_pressure,0.0
9.908,float_pressure,0.0
9.916,float_pressure,0.0
9.922,float_pressure,0.0
9.924,float_pressure,0.0
9.926,float_pressure,0.0
9.93,float_pressure,-0.5
9.932,float_pressure,0.0
9.935,float_pressure,0.0
9.944,float_pressure,0.0
9.948,float_pressure,0.0
9.949,float_pressure,0.0
9.954,float_pressure,0.0
9.957,float_pressure,0.0
10.024,float_pressure,0.0
