Thu Nov 14 2019 18:56:31 GMT-0800 (PST)
Time (s),Topic,Payload
0.014,prop_pressure,0.00
0.147,prop_pressure,0.00
0.183,prop_pressure,0.00
0.459,prop_pressure,0.00
0.461,prop_pressure,0.00
0.646,prop_pressure,0.48
0.647,prop_pressure,0.00
0.765,prop_pressure,0.00
0.945,prop_pressure,0.00
0.948,prop_pressure,0.00
1.052,prop_pressure,0.48
1.155,prop_pressure,0.48
1.353,prop_pressure,0.00
1.355,prop_pressure,0.00
1.463,prop_pressure,0.00
1.521,prop_pressure,0.00
1.654,prop_pressure,0.00
1.754,prop_pressure,0.00
1.948,prop_pressure,0.00
1.951,prop_pressure,0.00
2.15,prop_pressure,0.00
2.151,prop_pressure,0.00
2.255,prop_pressure,0.00
2.353,prop_pressure,0.00
2.56,prop_pressure,0.00
2.562,prop_pressure,0.00
2.743,prop_pressure,0.00
2.746,prop_pressure,0.00
2.844,prop_pressure,0.00
3.051,prop_pressure,0.00
3.052,prop_pressure,0.00
3.173,prop_pressure,0.00
3.35,prop_pressure,0.00
3.353,prop_pressure,0.00
3.453,prop_pressure,0.48
3.555,prop_pressure,0.00
3.749,prop_pressure,0.00
3.855,prop_pressure,0.00
4.06,prop_pressure,0.48
4.061,prop_pressure,0.00
4.163,prop_pressure,0.00
4.171,prop_pressure,0.00
4.34,prop_pressure,0.00
4.456,prop_pressure,0.00
4.65,prop_pressure,0.00
4.653,prop_pressure,0.00
4.755,prop_pressure,0.00
4.856,prop_pressure,0.00
5.053,prop_pressure,0.00
5.055,prop_pressure,0.00
5.245,prop_pressure,0.00
5.246,prop_pressure,0.00
5.345,prop_pressure,0.00
5.448,prop_pressure,0.00
5.505,prop_pressure,0.00
5.665,prop_pressure,0.00
5.857,prop_pressure,0.00
5.86,prop_pressure,-0.47
6.051,prop_pressure,0.48
6.053,prop_pressure,0.00
6.264,prop_pressure,0.00
6.265,prop_pressure,0.00
6.442,prop_pressure,0.48
6.444,prop_pressure,0.00
6.55,prop_pressure,0.00
6.676,prop_pressure,0.00
6.884,prop_pressure,0.00
6.887,prop_pressure,0.00
6.971,prop_pressure,0.48
7.043,prop_pressure,0.00
7.158,prop_pressure,0.00
7.366,prop_pressure,0.00
7.369,prop_pressure,0.00
7.552,prop_pressure,0.00
7.554,prop_pressure,0.00
7.765,prop_pressure,0.00
7.766,prop_pressure,0.00
7.955,prop_pressure,0.00
7.957,prop_pressure,0.00
8.145,prop_pressure,0.00
8.247,prop_pressure,0.00
8.263,prop_pressure,-0.47
8.579,prop_pressure,0.00
8.58,prop_pressure,0.00
8.582,prop_pressure,0.00
8.748,prop_pressure,0.00
8.875,prop_pressure,0.00
8.878,prop_pressure,0.00
9.055,prop_pressure,0.00
9.253,prop_pressure,0.48
9.256,prop_pressure,0.00
9.459,prop_pressure,0.00
9.46,prop_pressure,0.00
9.674,prop_pressure,0.00
9.675,prop_pressure,0.00
9.702,prop_pressure,0.00
9.845,prop_pressure,0.00
9.959,prop_pressure,0.48
