Thu Nov 14 2019 18:47:05 GMT-0800 (PST)
Time (s),Topic,Payload
6.303,float_pressure,-0.48
7.457,float_pressure,2.87
7.543,float_pressure,-0.00
7.545,float_pressure,-0.00
7.55,float_pressure,-0.00
7.551,float_pressure,-0.00
7.554,float_pressure,-0.00
7.556,float_pressure,-0.00
7.557,float_pressure,0.48
7.56,float_pressure,-0.00
7.562,float_pressure,-0.00
7.567,float_pressure,0.48
7.568,float_pressure,2.87
7.632,float_pressure,-0.00
7.738,float_pressure,0.48
7.848,float_pressure,-0.00
7.945,float_pressure,-0.00
8.044,float_pressure,-0.00
8.146,float_pressure,-0.96
8.248,float_pressure,-0.48
8.355,float_pressure,-0.00
8.455,float_pressure,-0.00
8.588,float_pressure,0.48
8.66,float_pressure,-0.00
8.762,float_pressure,3.34
8.867,float_pressure,1.43
8.969,float_pressure,-0.00
9.072,float_pressure,-0.96
9.179,float_pressure,-0.00
9.278,float_pressure,-0.00
9.388,float_pressure,-0.96
9.502,float_pressure,-0.00
9.585,float_pressure,-0.00
9.69,float_pressure,-0.96
9.809,float_pressure,-0.00
9.894,float_pressure,-0.00
9.997,float_pressure,1.91
