Thu Nov 14 2019 18:47:05 GMT-0800 (PST)
Time (s),Topic,Payload
0.278,prop_pressure,0.10
0.28,prop_pressure,0.10
0.281,prop_pressure,0.10
0.375,prop_pressure,0.58
0.473,prop_pressure,0.10
0.575,prop_pressure,0.10
0.778,prop_pressure,0.10
0.778,prop_pressure,0.10
0.97,prop_pressure,0.10
1.173,prop_pressure,0.10
1.177,prop_pressure,0.10
1.374,prop_pressure,0.10
1.375,prop_pressure,0.10
1.477,prop_pressure,0.10
1.677,prop_pressure,0.10
1.68,prop_pressure,0.10
1.722,prop_pressure,0.10
1.875,prop_pressure,0.10
2.074,prop_pressure,0.10
2.077,prop_pressure,0.10
2.273,prop_pressure,0.10
2.274,prop_pressure,0.10
2.374,prop_pressure,0.10
2.471,prop_pressure,0.10
2.679,prop_pressure,0.10
2.68,prop_pressure,0.10
2.886,prop_pressure,0.10
2.887,prop_pressure,0.10
3.086,prop_pressure,0.10
3.086,prop_pressure,0.10
3.138,prop_pressure,0.10
3.281,prop_pressure,0.10
3.488,prop_pressure,-0.37
3.491,prop_pressure,-0.85
3.681,prop_pressure,0.10
3.681,prop_pressure,0.10
4.111,prop_pressure,0.10
4.115,prop_pressure,0.10
4.117,prop_pressure,0.10
4.118,prop_pressure,0.10
4.166,prop_pressure,0.58
4.272,prop_pressure,0.58
4.483,prop_pressure,0.10
4.487,prop_pressure,0.10
4.573,prop_pressure,0.58
4.672,prop_pressure,0.58
4.779,prop_pressure,0.10
4.876,prop_pressure,0.10
5.077,prop_pressure,0.10
5.081,prop_pressure,0.10
5.18,prop_pressure,0.10
5.368,prop_pressure,0.10
5.478,prop_pressure,0.10
5.577,prop_pressure,0.58
5.681,prop_pressure,0.10
5.877,prop_pressure,0.10
5.879,prop_pressure,0.10
5.901,prop_pressure,0.10
6.084,prop_pressure,0.10
6.185,prop_pressure,0.10
6.382,prop_pressure,0.10
6.384,prop_pressure,0.58
6.477,prop_pressure,0.10
6.686,prop_pressure,0.10
6.687,prop_pressure,0.10
6.875,prop_pressure,0.10
6.878,prop_pressure,0.58
7.078,prop_pressure,0.10
7.08,prop_pressure,0.10
7.289,prop_pressure,0.10
7.291,prop_pressure,0.58
7.335,prop_pressure,0.10
7.557,prop_pressure,0.10
7.685,prop_pressure,0.58
7.688,prop_pressure,0.58
7.87,prop_pressure,0.10
7.872,prop_pressure,0.10
7.977,prop_pressure,0.10
8.183,prop_pressure,0.10
8.186,prop_pressure,0.10
8.379,prop_pressure,0.10
8.381,prop_pressure,0.10
8.582,prop_pressure,0.10
8.584,prop_pressure,0.10
8.669,prop_pressure,0.10
8.778,prop_pressure,0.10
8.966,prop_pressure,0.10
8.969,prop_pressure,0.58
9.087,prop_pressure,0.10
9.205,prop_pressure,0.10
9.395,prop_pressure,0.10
9.396,prop_pressure,-1.81
9.579,prop_pressure,0.10
9.77,prop_pressure,0.58
9.774,prop_pressure,0.58
9.879,prop_pressure,0.58
