Thu Nov 14 2019 18:47:05 GMT-0800 (PST)
Time (s),Topic,Payload
9.977,prop_pressure,0.10
10.014,prop_pressure,0.10
Time (s),Topic,Payload
0.095,prop_pressure,0.48
0.161,prop_pressure,0.00
0.282,prop_pressure,0.00
0.381,prop_pressure,-0.95
0.496,prop_pressure,0.00
0.546,prop_pressure,0.00
0.701,prop_pressure,0.00
0.75,prop_pressure,0.00
0.9,prop_pressure,0.48
1.001,prop_pressure,-0.95
1.101,prop_pressure,-0.95
1.208,prop_pressure,0.48
1.31,prop_pressure,0.00
1.363,prop_pressure,0.00
1.48,prop_pressure,0.00
1.624,prop_pressure,0.00
1.673,prop_pressure,0.00
1.824,prop_pressure,0.00
1.928,prop_pressure,-0.47
2.03,prop_pressure,-0.47
2.134,prop_pressure,-0.47
2.243,prop_pressure,-0.47
2.293,prop_pressure,0.00
2.441,prop_pressure,0.00
2.546,prop_pressure,-0.95
2.646,prop_pressure,-0.47
2.763,prop_pressure,0.00
2.812,prop_pressure,0.00
2.965,prop_pressure,0.48
3.022,prop_pressure,0.00
3.164,prop_pressure,0.00
3.229,prop_pressure,0.00
3.406,prop_pressure,0.00
3.455,prop_pressure,0.00
3.573,prop_pressure,-0.95
3.687,prop_pressure,0.00
3.75,prop_pressure,4.31
3.887,prop_pressure,0.48
3.94,prop_pressure,0.00
4.049,prop_pressure,0.48
4.189,prop_pressure,0.00
4.296,prop_pressure,0.00
4.396,prop_pressure,2.39
4.497,prop_pressure,0.00
4.601,prop_pressure,0.00
4.726,prop_pressure,0.00
4.779,prop_pressure,0.00
4.934,prop_pressure,0.00
4.999,prop_pressure,0.48
5.116,prop_pressure,0.48
5.217,prop_pressure,0.00
5.326,prop_pressure,0.00
5.436,prop_pressure,0.00
5.487,prop_pressure,0.00
5.632,prop_pressure,0.00
5.686,prop_pressure,0.00
5.84,prop_pressure,0.48
5.96,prop_pressure,-0.47
6.01,prop_pressure,0.00
6.158,prop_pressure,0.48
6.208,prop_pressure,0.00
6.354,prop_pressure,-0.47
7.544,prop_pressure,0.00
7.546,prop_pressure,1.92
7.549,prop_pressure,0.00
7.551,prop_pressure,0.00
7.552,prop_pressure,0.00
7.555,prop_pressure,0.00
7.557,prop_pressure,0.00
7.558,prop_pressure,0.00
7.56,prop_pressure,0.00
7.563,prop_pressure,0.48
7.567,prop_pressure,1.44
7.569,prop_pressure,0.96
7.679,prop_pressure,0.00
7.739,prop_pressure,0.00
7.899,prop_pressure,0.48
7.946,prop_pressure,0.00
8.09,prop_pressure,0.00
8.197,prop_pressure,-0.47
8.296,prop_pressure,-0.95
8.355,prop_pressure,0.00
8.536,prop_pressure,0.00
8.589,prop_pressure,0.00
8.707,prop_pressure,0.00
8.817,prop_pressure,0.00
8.873,prop_pressure,2.39
9.018,prop_pressure,0.00
9.122,prop_pressure,-0.47
9.18,prop_pressure,0.00
9.33,prop_pressure,0.00
9.438,prop_pressure,-0.47
9.503,prop_pressure,0.00
9.635,prop_pressure,0.00
9.737,prop_pressure,0.00
9.81,prop_pressure,0.00
9.948,prop_pressure,0.00
10.062,prop_pressure,-0.95
